Team_1,Team_2,Winner,Ground,1
Australia ,Pakistan,Australia,The Cooper Associates County Ground,453
India ,New Zealand,Match abandoned,Trent Bridge,454
England,West Indies,England,The Rose Bowl,455
Australia ,Sri Lanka,Australia,Kennington Oval,456
Afghanistan ,South Africa,South Africa,Sophia Gardens,457
India ,Pakistan,India,Old Trafford,458
Bangladesh ,West Indies,Bangladesh,The Cooper Associates County Ground,459
England ,Afghanistan,England,Old Trafford,460
Netherlands ,Zimbabwe,Netherlands ,Sportspark Het Schootsveld,461
New Zealand,South Africa,New Zealand,Edgbaston,462
Australia ,Bangladesh,Australia,Trent Bridge,463
Netherlands ,Zimbabwe,Netherlands ,Sportspark Het Schootsveld,464
England ,Sri Lanka,Sri Lanka,Headingley,465
Afghanistan,India,India,The Rose Bowl,466
New Zealand ,West Indies,New Zealand,Old Trafford,467
Pakistan ,South Africa,Pakistan,Lord's,468
Afghanistan ,Bangladesh,Bangladesh,The Rose Bowl,469
England ,Australia,Australia,Lord's,470
New Zealand ,Pakistan,Pakistan,Edgbaston,471
India ,West Indies,India,Old Trafford,472
South Africa ,Sri Lanka,South Africa,Riverside Ground,473
Afghanistan ,Pakistan,Pakistan,Headingley,474
Australia ,New Zealand,Australia,Lord's,475
England,India,England,Edgbaston,476
Sri Lanka ,West Indies,Sri Lanka,Riverside Ground,477
Bangladesh ,India,India,Edgbaston,478
England,New Zealand,England,Riverside Ground,479
Afghanistan ,West Indies,West Indies,Headingley,480
India ,Sri Lanka,India,Headingley,481
